smiles,antibiotic_activity,mol_weight,clogp,clogp_6.5
C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,0,1202.635,3.269,0
C/C=C/c1ccc(OC)cc1,0,148.205,2.7283,0
C/C=C/c1ccc2c(c1)OCO2,0,162.188,2.4484,0
C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,0,351.399,0.1652,0
C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,0,242.322,1.9975,0
C/C=C\C1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,0,389.433,0.7067,0
C/C=N/N(C)C=O,0,100.121,0.0803,0
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O,1,393.568,5.0072,0
C1CCN2C[C@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1.O=S(=O)(O)O,0,332.466,1.6923,0
C1CCc2nnnn2CC1,0,138.174,0.3995,0
C1CNCCN1,0,86.138,-0.8208,0
C1CNCCN1.C[C@]12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O,0,436.574,2.4726,0
C1N2CN3CN1CN(C2)C3,0,140.19,-1.0198,0
C=C(C)C1CC=C(C)CC1,0,136.238,3.3089,0
C=C(C)C1CC=C(CO)CC1,0,152.237,2.2813,0
C=C(C)C1Cc2c(ccc3c(=O)c4c(oc23)COc2cc(OC)c(OC)cc2-4)O1,0,392.407,4.2492,0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)[C@@H]12,0,456.711,7.0895,1
C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C12,0,426.729,8.0248,1
C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@@H](CCC4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)C5CC[C@]43C)C12,0,468.766,8.5956,1
C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C12,0,442.728,6.9972,1
C=C(C)[C@H]1CC=C(C(=O)O)CC1,0,166.22,2.3736,0
C=C(C)[C@H]1COc2cc3oc(=O)ccc3cc2O1,0,244.246,2.5089,0
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0,394.423,3.7033,0
C=C(C)[C@H]1[C@@H]2C(=O)O[C@H]1[C@H]1OC(=O)[C@@]34O[C@@H]3C[C@]2(O)[C@@]14C,0,292.287,-0.062,0
C=C(C)c1cc2cc(C(C)=O)c(O)cc2o1,0,216.236,3.3741,0
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0,303.141,3.6057,0
C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)/C(=C\C)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O,0,1664.922,0.7739,0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0,348.486,6.10372,0
C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,0,328.452,4.5582,0
C=C1C(=O)O[C@@H]2C3O[C@]3(C)CC/C=C(\C)CC[C@@H]12,0,248.322,2.762,0
C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)C3=C[C@H]12,0,232.323,3.2406,0
C=C1C(C2(C)C=CC(=O)C(C)(C)C2CC(=O)OC)CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)C3OC132,0,468.546,4.3383,0
C=C1C/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0,190.33,4.3351,0
C=C1C2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C[C@]13O[C@H]1CC(=O)C(C)(C)[C@H](C(O)C(=O)OC)[C@@]21C,0,486.561,3.5331,0
C=C1C2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C[C@]13O[C@H]1CC(O)C(C)(C)C(CC(=O)OC)[C@@]21C,0,472.578,4.3541,0
C=C1CC/C=C(/C)CC[C@@H]2[C@@H]1CC2(C)C.O,0,222.372,3.9005,0
C=C1CC2C(CC[C@]3(C)C(=O)CCC23)[C@@]2(C)C=CC(=O)C=C12,0,296.41,4.0295,0
C=C1CC2C3C=C(C)C4=CC(=O)CC[C@]4(C)C3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,0,396.527,4.7414,0
C=C1CCC(=O)C(C)CCC2C1CC2(C)C,0,220.356,3.9841,0
C=C1CCC2C(CC2(C)C)C(=O)CCC1O,0,222.328,2.7089,0
C=C1CCC2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,0,350.455,1.9626,0
C=C1CC[C@H](O)C/C1=C/C=C1\CCCC2(C)C1CCC2C(C)CCCC(C)C,0,384.648,7.619,1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)C([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,0,396.659,7.641,1
C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,0,346.379,1.0271,0
C=C1[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@H](O)[C@H]1CO.O,0,295.299,-1.6525,0
C=C1[C@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C[C@]13O[C@H]1C[C@H](O)C(C)(C)[C@H](CC(=O)OC)[C@]12C,0,472.578,4.3541,0
C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl,1,478.885,-0.0161,0
C=CC(C)(O)CC/C=C(\C)CCC=C(C)C,0,222.372,4.3963,0
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(O)cc1,0,270.284,2.2703,0
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(OC)cc1,0,284.311,2.5733,0
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccccc1,0,254.285,2.5647,0
C=CC(C1=CC(=O)C=CC1=O)c1ccccc1,0,224.259,2.5906,0
